movie,genres,main_genre,subgenres,release_month,release_year,budget,production_budget,domestic_gross,foreign_gross,worldwide_gross,total_profit,ROI
The Hangover Part II,"Comedy,Mystery",Comedy,['Mystery'],5,2011,high,80000000,254464305,332000000,586464305,506464305,733.08038125
Hop,"Adventure,Animation,Comedy",Adventure,"['Animation', 'Comedy']",4,2011,high,63000000,108085305,80572288,188657593,125657593,299.4564968253968
The Best Exotic Marigold Hotel,"Comedy,Drama,Romance",Comedy,"['Drama', 'Romance']",5,2012,mid,10000000,46383639,88256141,134639780,124639780,1346.3978
Table 19,"Comedy,Drama,Romance",Comedy,"['Drama', 'Romance']",3,2017,mid,5000000,3614896,1005503,4620399,-379601,92.40798
12 Strong,"Action,Drama,History",Action,"['Drama', 'History']",1,2018,mid,35000000,45819713,25298665,71118378,36118378,203.1953657142857
Tracker,"Action,Adventure,Drama",Action,"['Adventure', 'Drama']",12,2011,mid,6500000,0,3149,3149,-6496851,0.04844615384615385
You Again,"Comedy,Family,Romance",Comedy,"['Family', 'Romance']",9,2010,mid,20000000,25702053,7136892,32838945,12838945,164.194725
"I, Frankenstein","Action,Fantasy,Horror",Action,"['Fantasy', 'Horror']",1,2014,high,65000000,19075290,55500000,74575290,9575290,114.7312153846154
Beneath Hill 60,"Drama,History,War",Drama,"['History', 'War']",6,2014,mid,9000000,0,3440939,3440939,-5559061,38.23265555555555
Somewhere,"Comedy,Drama",Comedy,['Drama'],12,2010,mid,7000000,1785645,15237476,17023121,10023121,243.18744285714286
A Lonely Place to Die,"Adventure,Crime,Thriller",Adventure,"['Crime', 'Thriller']",3,2012,low,4000000,0,442550,442550,-3557450,11.06375
Barney's Version,"Comedy,Drama",Comedy,['Drama'],1,2011,mid,30000000,7502560,1343015,8845575,-21154425,29.48525
Predators,"Action,Adventure,Sci-Fi",Action,"['Adventure', 'Sci-Fi']",7,2010,mid,40000000,52000688,75233701,127234389,87234389,318.08597249999997
Black Nativity,"Drama,Family,Music",Drama,"['Family', 'Music']",11,2013,mid,17500000,7018188,266947,7285135,-10214865,41.62934285714286
Hansel & Gretel: Witch Hunters,"Action,Fantasy,Horror",Action,"['Fantasy', 'Horror']",1,2013,high,50000000,55703475,159246241,214949716,164949716,429.89943200000005
The Wolverine,"Action,Adventure,Sci-Fi",Action,"['Adventure', 'Sci-Fi']",7,2013,high,115000000,132556852,283900000,416456852,301456852,362.1363930434783
Arthur Christmas,"Adventure,Animation,Comedy",Adventure,"['Animation', 'Comedy']",11,2011,high,85000000,46462469,103254655,149717124,64717124,176.13779294117646
Brick Mansions,"Action,Crime",Action,['Crime'],4,2014,mid,28000000,20396829,53024395,73421224,45421224,262.2186571428571
Big Miracle,"Biography,Drama,Family",Biography,"['Drama', 'Family']",2,2012,mid,40000000,20157300,5111380,25268680,-14731320,63.171699999999994
The Pirates! Band of Misfits,"Adventure,Animation,Comedy",Adventure,"['Animation', 'Comedy']",4,2012,high,55000000,31051126,105092479,136143605,81143605,247.53382727272725
Deadpool,"Action,Adventure,Comedy",Action,"['Adventure', 'Comedy']",2,2016,high,58000000,363070709,437954884,801025593,743025593,1381.0786086206897
Faster,"Action,Crime,Drama",Action,"['Crime', 'Drama']",11,2010,mid,24000000,23240020,12552925,35792945,11792945,149.13727083333333
Fright Night,"Comedy,Horror",Comedy,['Horror'],8,2011,mid,30000000,18298649,22222000,40520649,10520649,135.06883000000002
Charlie St. Cloud,"Drama,Fantasy,Romance",Drama,"['Fantasy', 'Romance']",7,2010,mid,44000000,31206263,17271821,48478084,4478084,110.17746363636363
Battleship,"Action,Adventure,Sci-Fi",Action,"['Adventure', 'Sci-Fi']",5,2012,high,220000000,65233400,248244317,313477717,93477717,142.48987136363635
A Little Bit of Heaven,"Comedy,Drama,Fantasy",Comedy,"['Drama', 'Fantasy']",5,2012,mid,12500000,10011,1090276,1100287,-11399713,8.802296
Submarine,"Comedy,Drama,Romance",Comedy,"['Drama', 'Romance']",6,2011,low,1900000,467602,4114335,4581937,2681937,241.1545789473684
The American,"Crime,Drama,Thriller",Crime,"['Drama', 'Thriller']",9,2010,mid,20000000,35606376,32344347,67950723,47950723,339.753615
Martha Marcy May Marlene,"Drama,Mystery,Thriller",Drama,"['Mystery', 'Thriller']",10,2011,low,1000000,2981038,2457873,5438911,4438911,543.8911
Under the Skin,"Drama,Horror,Sci-Fi",Drama,"['Horror', 'Sci-Fi']",4,2014,mid,13300000,2614251,4615682,7229933,-6070067,54.360398496240606
Quartet,"Comedy,Drama",Comedy,['Drama'],1,2013,mid,11000000,18388357,37790578,56178935,45178935,510.7175909090909
Testament of Youth,"Biography,Drama,History",Biography,"['Drama', 'History']",6,2015,mid,10000000,1822250,4824419,6646669,-3353331,66.46669
Rise of the Guardians,"Action,Adventure,Animation",Action,"['Adventure', 'Animation']",11,2012,high,145000000,103412758,203488144,306900902,161900902,211.6557944827586
Prometheus,"Adventure,Mystery,Sci-Fi",Adventure,"['Mystery', 'Sci-Fi']",6,2012,high,125000000,126477084,275971181,402448265,277448265,321.958612
Killer Elite,"Action,Crime,Thriller",Action,"['Crime', 'Thriller']",9,2011,high,70000000,25124986,40284060,65409046,-4590954,93.44149428571428
Winnie the Pooh,"Adventure,Animation,Comedy",Adventure,"['Animation', 'Comedy']",7,2011,mid,30000000,26692846,23452761,50145607,20145607,167.15202333333335
Monsters University,"Adventure,Animation,Comedy",Adventure,"['Animation', 'Comedy']",6,2013,high,200000000,268488329,475100000,743588329,543588329,371.79416449999997
The Help,Drama,Drama,[],8,2011,mid,25000000,169705587,43414417,213120004,188120004,852.480016
Gravity,"Drama,Sci-Fi,Thriller",Drama,"['Sci-Fi', 'Thriller']",10,2013,high,110000000,274092705,419605968,693698673,583698673,630.6351572727273
The Conjuring,"Horror,Mystery,Thriller",Horror,"['Mystery', 'Thriller']",7,2013,mid,20000000,137400141,180600000,318000141,298000141,1590.000705
The Next Three Days,"Action,Crime,Drama",Action,"['Crime', 'Drama']",11,2010,mid,30000000,21148651,46107265,67255916,37255916,224.1863866666667
Reign of Assassins,"Action,Adventure",Action,['Adventure'],11,2016,mid,14000000,0,11354230,11354230,-2645770,81.10164285714285
Dream House,"Drama,Mystery,Thriller",Drama,"['Mystery', 'Thriller']",9,2011,high,50000000,21302340,20339826,41642166,-8357834,83.284332
Letters to God,"Drama,Family",Drama,['Family'],4,2010,low,3000000,2848587,388865,3237452,237452,107.91506666666666
The Odd Life of Timothy Green,"Comedy,Drama,Family",Comedy,"['Drama', 'Family']",8,2012,mid,40000000,51853450,3395709,55249159,15249159,138.1228975
"Big Mommas: Like Father, Like Son","Action,Comedy,Crime",Action,"['Comedy', 'Crime']",2,2011,mid,32000000,37915414,44417036,82332450,50332450,257.28890624999997
Stake Land,"Drama,Horror,Sci-Fi",Drama,"['Horror', 'Sci-Fi']",4,2011,low,4000000,33245,646237,679482,-3320518,16.98705
Baywatch,"Action,Comedy,Crime",Action,"['Comedy', 'Crime']",5,2017,high,60000000,58060186,117803597,175863783,115863783,293.106305
Redemption Road,Drama,Drama,[],8,2011,low,2300000,29384,0,29384,-2270616,1.2775652173913044
MacGruber,"Action,Comedy,Romance",Action,"['Comedy', 'Romance']",5,2010,mid,10000000,8525600,104295,8629895,-1370105,86.29894999999999
Max Steel,"Action,Adventure,Family",Action,"['Adventure', 'Family']",10,2016,mid,10000000,3818664,744416,4563080,-5436920,45.6308
Aquaman,"Action,Adventure,Fantasy",Action,"['Adventure', 'Fantasy']",12,2018,high,160000000,335061807,811832833,1146894640,986894640,716.80915
Cedar Rapids,Comedy,Comedy,[],2,2011,mid,10000000,6861102,1001029,7862131,-2137869,78.62131
Bridesmaids,"Comedy,Romance",Comedy,['Romance'],5,2011,mid,32500000,169211718,120420305,289632023,257132023,891.1754553846154
Attack the Block,"Action,Comedy,Sci-Fi",Action,"['Comedy', 'Sci-Fi']",7,2011,mid,13000000,1024175,5435008,6459183,-6540817,49.68602307692308
Eddie: The Sleepwalking Cannibal,"Comedy,Horror",Comedy,['Horror'],4,2013,low,1400000,1632,0,1632,-1398368,0.11657142857142858
8: The Mormon Proposition,Documentary,Documentary,[],6,2010,low,2500000,100280,0,100280,-2399720,4.0112000000000005
The Greatest Showman,"Biography,Drama,Musical",Biography,"['Drama', 'Musical']",12,2017,high,84000000,174340174,212325376,386665550,302665550,460.31613095238095
Red Riding Hood,"Fantasy,Horror,Mystery",Fantasy,"['Horror', 'Mystery']",3,2011,mid,42000000,37662162,54016280,91678442,49678442,218.28200476190477
The Raven,"Crime,Mystery,Thriller",Crime,"['Mystery', 'Thriller']",4,2012,mid,26000000,16008272,14593529,30601801,4601801,117.69923461538461
5 Days of War,"Action,Drama,War",Action,"['Drama', 'War']",8,2011,mid,12000000,17479,70314,87793,-11912207,0.7316083333333333
Khumba,"Adventure,Animation,Family",Adventure,"['Animation', 'Family']",12,2013,mid,15000000,0,20898221,20898221,5898221,139.32147333333333
Zambezia,"Adventure,Animation,Comedy",Adventure,"['Animation', 'Comedy']",12,2012,mid,20000000,0,34454336,34454336,14454336,172.27168
The Change-Up,"Comedy,Fantasy",Comedy,['Fantasy'],8,2011,high,52000000,37243418,38753649,75997067,23997067,146.14820576923077
Central Intelligence,"Action,Comedy,Crime",Action,"['Comedy', 'Crime']",6,2016,high,50000000,127440871,89753934,217194805,167194805,434.38961
The Lego Movie,"Action,Adventure,Animation",Action,"['Adventure', 'Animation']",2,2014,high,60000000,257784718,199944670,457729388,397729388,762.8823133333333
The Iceman,"Biography,Crime,Drama",Biography,"['Crime', 'Drama']",5,2013,mid,10000000,1930282,1693327,3623609,-6376391,36.23609
The Paperboy,"Crime,Drama,Mystery",Crime,"['Drama', 'Mystery']",10,2012,mid,12500000,677200,3350463,4027663,-8472337,32.221304
Horrible Bosses,"Comedy,Crime",Comedy,['Crime'],7,2011,mid,35000000,117538559,94879042,212417601,177417601,606.9074314285715
Drive Angry,"Action,Fantasy,Thriller",Action,"['Fantasy', 'Thriller']",2,2011,high,50000000,10721033,30321550,41042583,-8957417,82.085166
Halloween,"Horror,Thriller",Horror,['Thriller'],10,2018,mid,10000000,159342015,95558652,254900667,244900667,2549.0066699999998
Fantastic Four,"Action,Adventure,Drama",Action,"['Adventure', 'Drama']",8,2015,high,120000000,56117548,111731639,167849187,47849187,139.8743225
Haywire,"Action,Drama,Thriller",Action,"['Drama', 'Thriller']",1,2012,mid,23000000,18942396,17432304,36374700,13374700,158.1508695652174
Le Havre,"Comedy,Drama",Comedy,['Drama'],10,2011,mid,5500000,611709,12868487,13480196,7980196,245.09447272727272
Griff the Invisible,"Comedy,Drama,Romance",Comedy,"['Drama', 'Romance']",8,2011,low,2900000,20778,5157,25935,-2874065,0.8943103448275862
Sherlock Holmes: A Game of Shadows,"Action,Adventure,Crime",Action,"['Adventure', 'Crime']",12,2011,high,125000000,186848418,348815025,535663443,410663443,428.53075440000003
Meek's Cutoff,"Drama,Western",Drama,['Western'],4,2011,low,2000000,977772,892156,1869928,-130072,93.49640000000001
Area 51,"Horror,Sci-Fi,Thriller",Horror,"['Sci-Fi', 'Thriller']",5,2015,mid,5000000,7556,0,7556,-4992444,0.15112
Contraband,"Action,Crime,Drama",Action,"['Crime', 'Drama']",1,2012,mid,25000000,66528000,31878855,98406855,73406855,393.62742000000003
The Vatican Tapes,"Horror,Thriller",Horror,['Thriller'],7,2015,mid,13000000,1784763,13144421,14929184,1929184,114.83987692307693
Vacation,"Adventure,Comedy",Adventure,['Comedy'],7,2015,mid,31000000,58884188,43422312,102306500,71306500,330.0209677419355
Grabbers,"Comedy,Horror,Sci-Fi",Comedy,"['Horror', 'Sci-Fi']",7,2013,mid,5300000,0,440821,440821,-4859179,8.317377358490566
Exodus: Gods and Kings,"Action,Adventure,Drama",Action,"['Adventure', 'Drama']",12,2014,high,140000000,65014513,203300000,268314513,128314513,191.65322357142858
Sea Rex 3D: Journey to a Prehistoric World,Documentary,Documentary,[],5,2010,mid,5000000,6096582,10418621,16515203,11515203,330.30406
Everything Must Go,"Comedy,Drama",Comedy,['Drama'],5,2011,mid,5000000,2712131,108879,2821010,-2178990,56.4202
Beginners,"Comedy,Drama,Romance",Comedy,"['Drama', 'Romance']",6,2011,low,3200000,5790894,8523513,14314407,11114407,447.32521875
Battle of the Year,"Drama,Music",Drama,['Music'],9,2013,mid,20000000,8888355,7835022,16723377,-3276623,83.616885
Beautiful Boy,Drama,Drama,[],10,2018,mid,25000000,7634767,5396657,13031424,-11968576,52.125696
Beyond the Black Rainbow,"Horror,Sci-Fi,Thriller",Horror,"['Sci-Fi', 'Thriller']",5,2012,low,1100000,56491,0,56491,-1043509,5.135545454545454
Captain Phillips,"Biography,Drama,Thriller",Biography,"['Drama', 'Thriller']",10,2013,high,55000000,107136417,113511767,220648184,165648184,401.1785163636364
Hope Springs,"Comedy,Drama,Romance",Comedy,"['Drama', 'Romance']",8,2012,mid,30000000,63536011,69549284,133085295,103085295,443.61765
The Son of No One,"Action,Crime,Drama",Action,"['Crime', 'Drama']",11,2011,mid,15000000,30680,1117898,1148578,-13851422,7.657186666666667
Paranormal Activity 2,Horror,Horror,[],10,2010,low,3000000,84752907,92759125,177512032,174512032,5917.067733333333
Leap Year,"Drama,Romance",Drama,['Romance'],1,2010,mid,19000000,25918920,6700000,32618920,13618920,171.67852631578947
The Mortal Instruments: City of Bones,"Action,Fantasy,Horror",Action,"['Fantasy', 'Horror']",8,2013,high,60000000,31165421,44800146,75965567,15965567,126.60927833333334
Blair Witch,"Horror,Mystery,Thriller",Horror,"['Mystery', 'Thriller']",9,2016,mid,10000000,20777061,18208516,38985577,28985577,389.85577
The Guard,"Comedy,Crime,Thriller",Comedy,"['Crime', 'Thriller']",7,2011,mid,6000000,5359774,15837680,21197454,15197454,353.2909
Snow Flower and the Secret Fan,"Drama,History",Drama,['History'],7,2011,mid,6000000,1348205,10000000,11348205,5348205,189.13675
127 Hours,"Adventure,Biography,Drama",Adventure,"['Biography', 'Drama']",11,2010,mid,18000000,18335230,41881941,60217171,42217171,334.5398388888889
The Grace Card,Drama,Drama,[],2,2011,low,200000,2430735,0,2430735,2230735,1215.3675
Premium Rush,"Action,Crime,Thriller",Action,"['Crime', 'Thriller']",8,2012,mid,35000000,20275446,11117755,31393201,-3606799,89.69486
Another Earth,"Drama,Romance,Sci-Fi",Drama,"['Romance', 'Sci-Fi']",7,2011,low,175000,1321194,781585,2102779,1927779,1201.588
Winnie Mandela,"Biography,Drama,History",Biography,"['Drama', 'History']",9,2013,mid,15000000,61847,0,61847,-14938153,0.4123133333333333
Country Strong,"Drama,Music",Drama,['Music'],12,2010,mid,15000000,20218921,383066,20601987,5601987,137.34658
Beautiful Creatures,"Drama,Fantasy,Romance",Drama,"['Fantasy', 'Romance']",2,2013,high,50000000,19452138,40830738,60282876,10282876,120.56575199999999
I Want Your Money,Documentary,Documentary,[],10,2010,low,400000,433588,0,433588,33588,108.397
The Devil Inside,Horror,Horror,[],1,2012,low,1000000,53262945,48496545,101759490,100759490,10175.949
Higher Ground,Drama,Drama,[],8,2011,low,1800000,841056,1637,842693,-957307,46.81627777777778
Amigo,"Drama,War",Drama,['War'],8,2011,low,1500000,184705,0,184705,-1315295,12.313666666666666
Overboard,"Comedy,Romance",Comedy,['Romance'],5,2018,mid,12000000,50316123,35053707,85369830,73369830,711.41525
Dolphin Tale,"Drama,Family",Drama,['Family'],9,2011,mid,37000000,72286779,23781945,96068724,59068724,259.64520000000005
Skyline,"Action,Sci-Fi,Thriller",Action,"['Sci-Fi', 'Thriller']",11,2010,mid,10000000,21416355,46848618,68264973,58264973,682.64973
For Greater Glory: The True Story of Cristiada,"Drama,History,War",Drama,"['History', 'War']",6,2012,mid,12000000,5669081,4357174,10026255,-1973745,83.552125
Man on a Ledge,"Action,Adventure,Crime",Action,"['Adventure', 'Crime']",1,2012,mid,42000000,18620000,31001440,49621440,7621440,118.14628571428571
The Girl with the Dragon Tattoo,"Crime,Drama,Mystery",Crime,"['Drama', 'Mystery']",12,2011,high,90000000,102515793,136858177,239373970,149373970,265.9710777777778
Tiny Furniture,"Comedy,Drama,Romance",Comedy,"['Drama', 'Romance']",11,2010,low,50000,391674,32475,424149,374149,848.298
A Dangerous Method,"Biography,Drama,Romance",Biography,"['Drama', 'Romance']",11,2011,mid,20000000,5702083,9105448,14807531,-5192469,74.037655
Mortal Engines,"Action,Adventure,Fantasy",Action,"['Adventure', 'Fantasy']",12,2018,high,100000000,15951040,69336377,85287417,-14712583,85.287417
The Skeleton Twins,"Comedy,Drama,Romance",Comedy,"['Drama', 'Romance']",9,2014,low,1000000,5284309,512883,5797192,4797192,579.7192
Texas Chainsaw 3D,"Horror,Thriller",Horror,['Thriller'],1,2013,mid,20000000,34341945,13324068,47666013,27666013,238.330065
The Dilemma,"Comedy,Drama",Comedy,['Drama'],1,2011,high,70000000,48475290,22071575,70546865,546865,100.78123571428573
House at the End of the Street,"Drama,Horror,Thriller",Drama,"['Horror', 'Thriller']",9,2012,mid,6900000,31611916,12492066,44103982,37203982,639.1881449275362
Larry Crowne,"Comedy,Drama,Romance",Comedy,"['Drama', 'Romance']",7,2011,mid,30000000,35608245,25840890,61449135,31449135,204.83044999999998
G.I. Joe: Retaliation,"Action,Adventure,Sci-Fi",Action,"['Adventure', 'Sci-Fi']",3,2013,high,140000000,122523060,253217645,375740705,235740705,268.38621785714287
The Last Godfather,"Comedy,Crime,Romance",Comedy,"['Crime', 'Romance']",4,2011,mid,13400000,164247,0,164247,-13235753,1.2257238805970148
What to Expect When You're Expecting,"Comedy,Drama,Romance",Comedy,"['Drama', 'Romance']",5,2012,mid,37500000,41152203,47320813,88473016,50973016,235.92804266666664
Burlesque,Drama,Drama,[],11,2010,high,55000000,39440655,51112020,90552675,35552675,164.64122727272726
Machine Gun Preacher,"Action,Biography,Crime",Action,"['Biography', 'Crime']",9,2011,mid,30000000,538690,3183298,3721988,-26278012,12.406626666666666
Maleficent,"Action,Adventure,Family",Action,"['Adventure', 'Family']",5,2014,high,180000000,241407328,517129407,758536735,578536735,421.40929722222216
Warm Bodies,"Comedy,Horror,Romance",Comedy,"['Horror', 'Romance']",2,2013,mid,30000000,66380662,48740946,115121608,85121608,383.73869333333334
"Jeff, Who Lives at Home","Comedy,Drama",Comedy,['Drama'],3,2012,mid,10000000,4269426,438701,4708127,-5291873,47.081269999999996
The Commuter,"Action,Mystery,Thriller",Action,"['Mystery', 'Thriller']",1,2018,mid,40000000,36343858,65641573,101985431,61985431,254.9635775
Insidious,"Horror,Mystery,Thriller",Horror,"['Mystery', 'Thriller']",4,2011,low,1500000,54009150,45861736,99870886,98370886,6658.059066666667
Act of Valor,"Action,Adventure,Drama",Action,"['Adventure', 'Drama']",2,2012,mid,12000000,70012847,12484188,82497035,70497035,687.4752916666667
Lockout,"Action,Sci-Fi,Thriller",Action,"['Sci-Fi', 'Thriller']",4,2012,mid,20000000,14326865,19616184,33943049,13943049,169.71524499999998
LOL,"Comedy,Drama,Romance",Comedy,"['Drama', 'Romance']",5,2012,mid,11000000,0,10431506,10431506,-568494,94.83187272727272
The Innkeepers,"Drama,Horror,Mystery",Drama,"['Horror', 'Mystery']",2,2012,low,750000,78396,933139,1011535,261535,134.87133333333335
Norm of the North,"Adventure,Animation,Comedy",Adventure,"['Animation', 'Comedy']",1,2016,mid,18000000,17062499,13473161,30535660,12535660,169.64255555555556
Fast Five,"Action,Crime,Thriller",Action,"['Crime', 'Thriller']",4,2011,high,125000000,210031325,420132129,630163454,505163454,504.1307632
Soul Surfer,"Biography,Drama,Family",Biography,"['Drama', 'Family']",4,2011,mid,18000000,43853424,3305228,47158652,29158652,261.9925111111111
This Means War,"Action,Comedy,Romance",Action,"['Comedy', 'Romance']",2,2012,high,65000000,54760791,102213766,156974557,91974557,241.49931846153848
The Big Short,"Biography,Comedy,Drama",Biography,"['Comedy', 'Drama']",12,2015,mid,28000000,70259870,62902882,133162752,105162752,475.58125714285717
The Woman in Black,"Drama,Fantasy,Horror",Drama,"['Fantasy', 'Horror']",2,2012,mid,15000000,54333290,74622608,128955898,113955898,859.7059866666667
Contagion,"Action,Drama,Thriller",Action,"['Drama', 'Thriller']",9,2011,high,60000000,75658097,61893497,137551594,77551594,229.25265666666667
One for the Money,"Action,Comedy,Crime",Action,"['Comedy', 'Crime']",1,2012,mid,42000000,26414527,9782694,36197221,-5802779,86.18385952380953
The Grey,"Action,Adventure,Drama",Action,"['Adventure', 'Drama']",1,2012,mid,25000000,51580136,29669040,81249176,56249176,324.996704
Albert Nobbs,"Drama,Romance",Drama,['Romance'],12,2011,mid,7500000,3014696,5524307,8539003,1039003,113.85337333333334
Only God Forgives,"Crime,Drama",Crime,['Drama'],7,2013,low,4800000,775849,3718711,4494560,-305440,93.63666666666667
Amour,"Drama,Romance",Drama,['Romance'],12,2012,mid,9700000,6738954,30048090,36787044,27087044,379.24787628865977
Prom,"Comedy,Drama,Family",Comedy,"['Drama', 'Family']",4,2011,mid,8000000,10130219,632964,10763183,2763183,134.5397875
American Reunion,Comedy,Comedy,[],4,2012,high,50000000,56758835,180040376,236799211,186799211,473.59842199999997
Midnight in Paris,"Comedy,Fantasy,Romance",Comedy,"['Fantasy', 'Romance']",5,2011,mid,30000000,56816662,105686112,162502774,132502774,541.6759133333334
A Good Day to Die Hard,"Action,Thriller",Action,['Thriller'],2,2013,high,92000000,67349198,236900000,304249198,212249198,330.70565
The Vow,"Drama,Romance",Drama,['Romance'],2,2012,mid,30000000,125014030,72604130,197618160,167618160,658.7271999999999
The Other Dream Team,"Documentary,Sport",Documentary,['Sport'],9,2012,low,500000,134109,180335,314444,-185556,62.8888
Zoolander 2,Comedy,Comedy,[],2,2016,high,50000000,28848693,26500000,55348693,5348693,110.69738600000001
Abraham Lincoln: Vampire Hunter,"Action,Fantasy,Horror",Action,"['Fantasy', 'Horror']",6,2012,high,67500000,37519139,99970591,137489730,69989730,203.68848888888888
Rubber,"Comedy,Fantasy,Horror",Comedy,"['Fantasy', 'Horror']",4,2011,low,500000,100370,580544,680914,180914,136.18280000000001
Savages,"Crime,Drama,Thriller",Crime,"['Drama', 'Thriller']",7,2012,mid,45000000,47323100,35190390,82513490,37513490,183.3633111111111
Margin Call,"Drama,Thriller",Drama,['Thriller'],10,2011,low,3400000,5353586,15079641,20433227,17033227,600.9772647058824
Alvin and the Chipmunks: Chipwrecked,"Adventure,Animation,Comedy",Adventure,"['Animation', 'Comedy']",12,2011,high,80000000,133107389,215981134,349088523,269088523,436.36065375
J. Edgar,"Biography,Crime,Drama",Biography,"['Crime', 'Drama']",11,2011,mid,35000000,37306030,47300000,84606030,49606030,241.7315142857143
Jupiter Ascending,"Action,Adventure,Sci-Fi",Action,"['Adventure', 'Sci-Fi']",2,2015,high,179000000,47482519,134500000,181982519,2982519,101.66621173184357
Dum Maaro Dum,"Action,Crime,Drama",Action,"['Crime', 'Drama']",4,2011,mid,5200000,564489,11068938,11633427,6433427,223.71975
The Last Witch Hunter,"Action,Adventure,Fantasy",Action,"['Adventure', 'Fantasy']",10,2015,high,80000000,27367660,103451252,130818912,50818912,163.52364
A Wrinkle in Time,"Adventure,Family,Fantasy",Adventure,"['Family', 'Fantasy']",3,2018,high,103000000,100478608,32923274,133401882,30401882,129.51639029126213
Bleed for This,"Biography,Drama,Sport",Biography,"['Drama', 'Sport']",11,2016,mid,16000000,5083906,1520020,6603926,-9396074,41.2745375
Free Birds,"Adventure,Animation,Comedy",Adventure,"['Animation', 'Comedy']",11,2013,high,55000000,55750480,54636592,110387072,55387072,200.70376727272725
Think Like a Man,"Comedy,Romance",Comedy,['Romance'],4,2012,mid,12000000,91547205,21826559,113373764,101373764,944.7813666666667
30 Minutes or Less,"Action,Comedy,Crime",Action,"['Comedy', 'Crime']",8,2011,mid,28000000,37053924,3912792,40966716,12966716,146.30970000000002
Final Destination 5,Horror,Horror,[],8,2011,mid,40000000,42587643,112423522,155011165,115011165,387.5279125
Oz the Great and Powerful,"Adventure,Family,Fantasy",Adventure,"['Family', 'Fantasy']",3,2013,high,200000000,234770996,255588055,490359051,290359051,245.17952549999998
ParaNorman,"Adventure,Animation,Comedy",Adventure,"['Animation', 'Comedy']",8,2012,high,60000000,56003051,52116611,108119662,48119662,180.19943666666666
Young Adult,"Comedy,Drama",Comedy,['Drama'],12,2011,mid,12000000,16311571,6438785,22750356,10750356,189.5863
Independence Day: Resurgence,"Action,Adventure,Sci-Fi",Action,"['Adventure', 'Sci-Fi']",6,2016,high,165000000,103144286,281025138,384169424,219169424,232.82995393939393
Blackthorn,"Action,Adventure,Western",Action,"['Adventure', 'Western']",10,2011,low,4500000,200558,1016749,1217307,-3282693,27.051266666666667
Chasing Mavericks,"Biography,Drama,Sport",Biography,"['Drama', 'Sport']",10,2012,mid,20000000,6002756,2298065,8300821,-11699179,41.504105
Courageous,Drama,Drama,[],9,2011,low,2000000,34522221,663663,35185884,33185884,1759.2942
Edge of Tomorrow,"Action,Sci-Fi",Action,['Sci-Fi'],6,2014,high,178000000,100206256,270335000,370541256,192541256,208.16924494382022
Friends with Benefits,"Comedy,Romance",Comedy,['Romance'],7,2011,mid,35000000,55802754,90793137,146595891,111595891,418.8454028571429
Shark Night 3D,"Horror,Thriller",Horror,['Thriller'],9,2011,mid,25000000,18877153,0,18877153,-6122847,75.508612
Johnny English Reborn,"Action,Adventure,Comedy",Action,"['Adventure', 'Comedy']",10,2011,mid,45000000,8406711,156233690,164640401,119640401,365.8675577777778
In Time,"Action,Crime,Drama",Action,"['Crime', 'Drama']",10,2011,mid,35000000,37553932,127550020,165103952,130103952,471.72557714285716
Our Idiot Brother,"Comedy,Drama",Comedy,['Drama'],8,2011,mid,5000000,24814830,1046419,25861249,20861249,517.2249800000001
Ted,"Comedy,Fantasy",Comedy,['Fantasy'],6,2012,high,50000000,218665740,337350887,556016627,506016627,1112.033254
Hobo with a Shotgun,"Action,Comedy,Horror",Action,"['Comedy', 'Horror']",5,2011,low,3000000,703372,131581,834953,-2165047,27.831766666666667
Jumping the Broom,"Comedy,Drama",Comedy,['Drama'],5,2011,mid,7000000,37295394,863207,38158601,31158601,545.1228714285714
A Few Best Men,"Comedy,Romance",Comedy,['Romance'],5,2015,mid,15000000,0,17224539,17224539,2224539,114.83026000000001
Skin Trade,"Action,Crime,Thriller",Action,"['Crime', 'Thriller']",5,2015,mid,9000000,1242,0,1242,-8998758,0.0138
The Art of Getting By,"Drama,Romance",Drama,['Romance'],6,2011,low,4000000,1430241,558794,1989035,-2010965,49.725875
Inside Job,"Crime,Documentary",Crime,['Documentary'],10,2010,low,2000000,4311834,3487423,7799257,5799257,389.96285
The Dictator,Comedy,Comedy,[],5,2012,high,65000000,59650222,120498675,180148897,115148897,277.1521492307692
How to Train Your Dragon 2,"Action,Adventure,Animation",Action,"['Adventure', 'Animation']",6,2014,high,145000000,177002924,437583346,614586270,469586270,423.85260000000005
Wrath of the Titans,"Action,Adventure,Fantasy",Action,"['Adventure', 'Fantasy']",3,2012,high,150000000,83670083,221600000,305270083,155270083,203.51338866666669
Million Dollar Arm,"Biography,Drama,Sport",Biography,"['Drama', 'Sport']",5,2014,mid,25000000,36447959,2769953,39217912,14217912,156.871648
Here Comes the Boom,"Action,Comedy,Sport",Action,"['Comedy', 'Sport']",10,2012,mid,42000000,45290318,27948940,73239258,31239258,174.3791857142857
The Dark Tower,"Action,Adventure,Fantasy",Action,"['Adventure', 'Fantasy']",8,2017,high,60000000,50701325,62760202,113461527,53461527,189.10254500000002
The Impossible,"Drama,History,Thriller",Drama,"['History', 'Thriller']",12,2012,mid,40000000,19019882,150570724,169590606,129590606,423.976515
Diary of a Wimpy Kid: Rodrick Rules,"Comedy,Family",Comedy,['Family'],3,2011,mid,18000000,52698535,20996659,73695194,55695194,409.4177444444444
