movie,genres,main_genre,subgenres,release_month,release_year,budget,production_budget,domestic_gross,foreign_gross,worldwide_gross,total_profit,ROI
Wuthering Heights,"Horror,Romance",Horror,['Romance'],10,2012,mid,8000000,100915,2620619,2721534,-5278466,34.019175000000004
Hotel Transylvania 3: Summer Vacation,"Adventure,Animation,Comedy",Adventure,"['Animation', 'Comedy']",7,2018,high,65000000,167500092,359579870,527079962,462079962,810.8922492307693
The Gunman,Western,Western,[],3,2015,mid,40000000,10664749,7929478,18594227,-21405773,46.4855675
Paterson,"Comedy,Drama,Romance",Comedy,"['Drama', 'Romance']",12,2016,mid,5000000,2141423,8586113,10727536,5727536,214.55071999999998
Snatched,"Drama,Horror,Mystery",Drama,"['Horror', 'Mystery']",5,2017,mid,42000000,45852178,11999999,57852177,15852177,137.74327857142856
Marshall,"Biography,Crime,Drama",Biography,"['Crime', 'Drama']",10,2017,mid,12000000,10051659,65157,10116816,-1883184,84.30680000000001
Happy Death Day,"Horror,Mystery,Thriller",Horror,"['Mystery', 'Thriller']",10,2017,mid,5000000,55683845,69326415,125010260,120010260,2500.2052
Sgt. Stubby: An American Hero,"Adventure,Animation,Family",Adventure,"['Animation', 'Family']",4,2018,mid,25000000,3054285,591672,3645957,-21354043,14.583827999999999
The Little Prince,Documentary,Documentary,[],2,2016,high,77500000,1311213,100717706,102028919,24528919,131.65021806451614
Wish Upon,"Drama,Fantasy,Horror",Drama,"['Fantasy', 'Horror']",7,2017,mid,12000000,14301505,9175840,23477345,11477345,195.64454166666667
Nerve,"Documentary,History",Documentary,['History'],7,2016,mid,20000000,38583626,32068658,70652284,50652284,353.26142
Lights Out,Documentary,Documentary,[],7,2016,mid,5000000,67268835,81537675,148806510,143806510,2976.1302
Lean on Pete,"Adventure,Drama",Adventure,['Drama'],4,2018,mid,8000000,1163056,1291971,2455027,-5544973,30.687837499999997
The Hurricane Heist,"Action,Adventure,Crime",Action,"['Adventure', 'Crime']",3,2018,mid,40000000,6115824,24847860,30963684,-9036316,77.40921
Shanghai,Drama,Drama,[],10,2015,high,50000000,46425,15459497,15505922,-34494078,31.011844
Logan Lucky,"Comedy,Crime,Drama",Comedy,"['Crime', 'Drama']",8,2017,mid,29000000,27778642,16485629,44264271,15264271,152.6354172413793
The Big Sick,"Comedy,Drama,Romance",Comedy,"['Drama', 'Romance']",6,2017,mid,5000000,42872467,11100393,53972860,48972860,1079.4572
Deadpool 2,"Action,Adventure,Comedy",Action,"['Adventure', 'Comedy']",5,2018,high,110000000,324591735,462088822,786680557,676680557,715.1641427272727
Loving,"Drama,Romance",Drama,['Romance'],11,2016,mid,9000000,7710234,5187830,12898064,3898064,143.31182222222222
Cargo,Drama,Drama,[],10,2011,low,4200000,0,313230,313230,-3886770,7.457857142857143
The Square,Family,Family,[],4,2010,low,1900000,406216,334716,740932,-1159068,38.99642105263158
The Square,Family,Family,[],10,2013,low,1500000,124244,52018,176262,-1323738,11.7508
The Nutcracker and the Four Realms,"Adventure,Family,Fantasy",Adventure,"['Family', 'Fantasy']",11,2018,high,132900000,54858851,115435048,170293899,37393899,128.1368690744921
The Host,Documentary,Documentary,[],3,2013,high,50000000,26623701,37853350,64477051,14477051,128.954102
"I, Tonya","Biography,Comedy,Drama",Biography,"['Comedy', 'Drama']",12,2017,mid,11000000,30014534,23782875,53797409,42797409,489.0673545454545
The Hate U Give,"Crime,Drama",Crime,['Drama'],10,2018,mid,23000000,29719483,5348182,35067665,12067665,152.46810869565218
The Shape of Water,"Adventure,Drama,Fantasy",Adventure,"['Drama', 'Fantasy']",12,2017,mid,19500000,63859435,131931359,195790794,176290794,1004.0553538461538
Unforgettable,"Drama,Romance",Drama,['Romance'],4,2017,mid,12000000,11368012,4853199,16221211,4221211,135.17675833333334
Blood Ties,Documentary,Documentary,[],3,2014,mid,26000000,42472,2881487,2923959,-23076041,11.245996153846153
On the Road,Drama,Drama,[],3,2013,mid,25000000,720828,8592474,9313302,-15686698,37.253208
Thoroughbreds,"Comedy,Crime,Drama",Comedy,"['Crime', 'Drama']",3,2018,mid,5000000,3072605,114697,3187302,-1812698,63.74604
The Florida Project,Drama,Drama,[],10,2017,low,2000000,5904366,5390958,11295324,9295324,564.7662
Goosebumps 2: Haunted Halloween,"Adventure,Comedy,Family",Adventure,"['Comedy', 'Family']",10,2018,mid,35000000,46697321,46594157,93291478,58291478,266.54708
Survivor,"Crime,Thriller",Crime,['Thriller'],5,2015,mid,20000000,0,1703281,1703281,-18296719,8.516405
Sorry to Bother You,"Comedy,Fantasy,Sci-Fi",Comedy,"['Fantasy', 'Sci-Fi']",7,2018,low,3200000,17493096,792464,18285560,15085560,571.42375
Home Again,"Comedy,Drama,Romance",Comedy,"['Drama', 'Romance']",9,2017,mid,15000000,27020284,10316590,37336874,22336874,248.91249333333332
Cold Pursuit,"Action,Crime,Drama",Action,"['Crime', 'Drama']",2,2019,high,60000000,32138862,30460297,62599159,2599159,104.33193166666668
Just Getting Started,"Action,Comedy",Action,['Comedy'],12,2017,mid,22000000,6069605,686807,6756412,-15243588,30.710963636363637
Insidious: The Last Key,"Horror,Mystery,Thriller",Horror,"['Mystery', 'Thriller']",1,2018,mid,10000000,67745330,100140258,167885588,157885588,1678.85588
The Possession of Hannah Grace,"Horror,Mystery,Thriller",Horror,"['Mystery', 'Thriller']",11,2018,mid,6000000,14836174,27949213,42785387,36785387,713.0897833333333
Rio,Drama,Drama,[],4,2011,high,90000000,143619809,343900000,487519809,397519809,541.6886766666667
Skyscraper,"Action,Adventure,Thriller",Action,"['Adventure', 'Thriller']",7,2018,high,125000000,68420120,235695414,304115534,179115534,243.29242720000002
The Lovers,"Comedy,Drama,Romance",Comedy,"['Drama', 'Romance']",3,2015,mid,35000000,0,53899,53899,-34946101,0.15399714285714286
I Am Not Your Negro,Documentary,Documentary,[],2,2017,low,1000000,7123919,2493483,9617402,8617402,961.7402000000001
Oddball,Documentary,Documentary,[],12,2016,mid,7000000,0,10237229,10237229,3237229,146.24612857142859
Hotel Artemis,"Action,Drama,Sci-Fi",Action,"['Drama', 'Sci-Fi']",6,2018,mid,15000000,6708137,6050662,12758799,-2241201,85.05866
The Descendants,Drama,Drama,[],11,2011,mid,20000000,82624961,92882839,175507800,155507800,877.539
Total Recall,Action,Action,[],8,2012,high,125000000,58877969,152978119,211856088,86856088,169.4848704
Another Year,Documentary,Documentary,[],12,2010,mid,8000000,3205706,16799907,20005613,12005613,250.0701625
Denial,Documentary,Documentary,[],9,2016,mid,10000000,4073448,5190492,9263940,-736060,92.63940000000001
Slender Man,"Adventure,Comedy,Horror",Adventure,"['Comedy', 'Horror']",8,2018,mid,10000000,30564825,21158819,51723644,41723644,517.23644
Project X,Mystery,Mystery,[],3,2012,mid,12000000,54731865,48296323,103028188,91028188,858.5682333333333
Dangal,Action,Action,[],12,2016,mid,9500000,12391761,282262857,294654618,285154618,3101.627557894737
The Professor and the Madman,"Biography,Drama,Mystery",Biography,"['Drama', 'Mystery']",5,2019,mid,25000000,0,5227233,5227233,-19772767,20.908932
Moonlight,Horror,Horror,[],10,2016,low,1500000,27854931,37390581,65245512,63745512,4349.7008000000005
Bernie,Family,Family,[],4,2012,mid,6000000,9204489,902486,10106975,4106975,168.44958333333332
Miss Bala,"Action,Crime,Drama",Action,"['Crime', 'Drama']",2,2019,mid,15000000,14998027,364271,15362298,362298,102.41532
Captive State,"Sci-Fi,Thriller",Sci-Fi,['Thriller'],3,2019,mid,25000000,5958315,3034985,8993300,-16006700,35.9732
Left Behind,"Documentary,Drama",Documentary,['Drama'],10,2014,mid,16000000,14019924,6749285,20769209,4769209,129.80755625
"Roman J. Israel, Esq.","Crime,Drama,Thriller",Crime,"['Drama', 'Thriller']",11,2017,mid,22000000,11962712,1004300,12967012,-9032988,58.94096363636364
Diary of a Wimpy Kid: The Long Haul,"Comedy,Family",Comedy,['Family'],5,2017,mid,22000000,20738724,14870853,35609577,13609577,161.86171363636365
Destiny,Western,Western,[],12,2014,low,750000,0,450,450,-749550,0.06
Kin,"Action,Drama,Sci-Fi",Action,"['Drama', 'Sci-Fi']",8,2018,mid,30000000,5718096,4378725,10096821,-19903179,33.65607
The Perfect Host,Fantasy,Fantasy,[],7,2011,low,1000000,48764,2823,51587,-948413,5.1587000000000005
First Reformed,"Drama,Mystery,Thriller",Drama,"['Mystery', 'Thriller']",5,2018,low,3500000,3448256,426516,3874772,374772,110.70777142857142
Acrimony,"Drama,Romance,Thriller",Drama,"['Romance', 'Thriller']",3,2018,mid,20000000,43549096,3078740,46627836,26627836,233.13918
Life,Comedy,Comedy,[],3,2017,high,58000000,30234022,70695644,100929666,42929666,174.01666551724136
Limitless,Documentary,Documentary,[],3,2011,mid,27000000,79249455,76315464,155564919,128564919,576.1663666666666
Burn,Thriller,Thriller,[],7,2012,low,225000,1109276,0,1109276,884276,493.0115555555555
Barbecue,Documentary,Documentary,[],12,2014,mid,10000000,388,247177,247565,-9752435,2.47565
Brotherly Love,Drama,Drama,[],4,2015,low,1900000,478595,0,478595,-1421405,25.18921052631579
Knock Knock,Horror,Horror,[],10,2015,low,2000000,36336,6292180,6328516,4328516,316.4258
Late Night,"Comedy,Drama",Comedy,['Drama'],6,2019,low,4000000,246305,0,246305,-3753695,6.1576249999999995
